Day,RICS prices,Sales expectation,RICSNBESAP,RICSNISSAP,RICSASSA
1997-01-31,33.2,NaN,NaN,NaN,NaN
1997-02-28,29.2,NaN,NaN,NaN,NaN
1997-03-31,28.9,NaN,NaN,NaN,NaN
1997-04-30,31.3,NaN,NaN,NaN,NaN
1997-05-31,29.9,NaN,NaN,NaN,NaN
1997-06-30,31.1,NaN,NaN,NaN,NaN
1997-07-31,31.5,NaN,NaN,NaN,NaN
1997-08-31,30.0,NaN,NaN,NaN,NaN
1997-09-30,29.3,NaN,NaN,NaN,NaN
1997-10-31,29.5,NaN,NaN,NaN,NaN
1997-11-30,30.2,NaN,NaN,NaN,NaN
1997-12-31,28.0,NaN,NaN,NaN,NaN
1998-01-31,29.7,NaN,NaN,NaN,NaN
1998-02-28,25.7,NaN,NaN,NaN,NaN
1998-03-31,30.3,NaN,NaN,NaN,NaN
1998-04-30,27.6,NaN,NaN,NaN,NaN
1998-05-31,30.9,NaN,NaN,NaN,NaN
1998-06-30,29.0,NaN,NaN,NaN,NaN
1998-07-31,29.7,NaN,NaN,NaN,NaN
1998-08-31,27.9,NaN,NaN,NaN,NaN
1998-09-30,28.3,NaN,NaN,NaN,NaN
1998-10-31,30.0,4.288875042,NaN,NaN,NaN
1998-11-30,27.8,10.2609763,NaN,NaN,NaN
1998-12-31,28.5,12.09143842,NaN,NaN,NaN
1999-01-31,26.9,14.70977345,NaN,NaN,NaN
1999-02-28,27.0,16.54671151,NaN,NaN,NaN
1999-03-31,27.3,27.22727395,NaN,NaN,NaN
1999-04-30,29.5,36.7264669,44.17436415,-14.45416456,14.95125997
1999-05-31,31.3,31.33928037,48.42299195,2.93705184,27.6137814
1999-06-30,29.1,30.54173836,60.02735983,-14.3987072,50.06653113
1999-07-31,33.0,27.24380696,56.75551684,-23.43642353,45.30305817
1999-08-31,31.5,10.59475579,52.66026252,-16.90473251,43.05570477
1999-09-30,32.4,12.83034424,22.49502481,-25.21072754,32.02784386
1999-10-31,32.9,13.11815306,8.216577684,-27.79738096,13.69813453
1999-11-30,32.4,1.633236208,-6.857194904,-18.95130336,20.79317393
1999-12-31,32.1,2.702527317,-0.386472835,-7.227068781,4.471012442
2000-01-31,34.2,11.26425795,1.982028354,-16.91921895,-8.242166766
2000-02-29,35.8,13.41658809,2.580090529,-11.80047435,-17.48008242
2000-03-31,34.3,14.77689512,0.081868692,1.646073612,-3.924786994
2000-04-30,33.2,-0.946011184,-23.61234855,-0.546125545,-0.869750164
2000-05-31,32.2,4.870594037,-31.90113575,6.846321142,-16.37756999
2000-06-30,32.0,-1.04142544,-37.92696664,17.21060737,-19.39038216
2000-07-31,28.0,6.736015993,-30.01410551,15.75322685,-18.05970667
2000-08-31,32.0,1.937591137,-25.23225736,14.62561122,-13.49354278
2000-09-30,34.3,11.50756691,-24.64926052,10.97006145,-12.2722683
2000-10-31,32.1,17.0437698,0.528926857,6.117118797,-0.263201698
2000-11-30,28.2,21.3735952,9.499202807,1.249049633,9.763259515
2000-12-31,30.0,14.32240154,-0.853931265,2.255670384,17.23469518
2001-01-31,30.3,13.93935065,-29.25877025,-5.310422611,-14.46025596
2001-02-28,30.6,20.95718248,-0.441559669,8.095889629,-0.989855872
2001-03-31,28.4,18.04767777,5.499166861,1.225576515,-5.690723624
2001-04-30,31.8,22.87985139,17.25969516,5.518581265,10.45628737
2001-05-31,32.8,19.55137801,33.68482774,10.12027464,25.93434029
2001-06-30,34.4,26.00148814,32.30471655,6.163544871,30.89808745
2001-07-31,36.3,12.91997837,24.06322043,0.522923434,30.43821359
2001-08-31,35.7,-3.901544895,9.932875,2.891589721,31.17103391
2001-09-30,35.7,-16.24289939,-19.53109212,-0.446114755,7.592758463
2001-10-31,37.7,3.537755635,-10.31116363,3.65639375,-0.435378288
2001-11-30,38.9,-2.119613067,-3.735106639,11.34404173,-4.285750706
2001-12-31,38.2,3.923692398,2.554060743,1.722528299,6.801791811
2002-01-31,39.4,14.18106846,-17.87239081,1.766493622,-15.01144946
2002-02-28,38.3,17.49079856,14.52490988,1.227164874,-6.125654294
2002-03-31,39.0,3.323539693,10.14673573,-3.51785451,16.14791763
2002-04-30,37.1,10.67635394,15.94218938,-2.548599921,9.296973081
2002-05-31,38.1,-1.768955864,5.477011049,-18.28009735,4.016297447
2002-06-30,36.9,6.667220954,-10.74143023,-26.8625698,-29.27575579
2002-07-31,37.5,8.136979104,-16.9761252,7.201287547,-8.04506628
2002-08-31,36.8,18.76539335,-16.86754826,2.216210387,-15.26252051
2002-09-30,34.5,19.59867168,2.105137191,17.26205952,-1.953699986
2002-10-31,33.9,16.01564208,-5.663777839,24.20469344,1.347530799
2002-11-30,34.9,21.66963899,-8.65205661,21.50684491,-5.637085657
2002-12-31,32.9,10.80422067,-16.2554461,16.93756961,-12.59463112
2003-01-31,32.4,4.337594215,-10.88973657,25.46147012,6.056943073
2003-02-28,31.6,-6.709369584,-43.22332867,13.47152848,-14.22792378
2003-03-31,29.2,-11.22783467,-62.5215143,12.76364815,-28.58285382
2003-04-30,28.0,7.610140311,-29.71209894,8.999953963,-30.34814743
2003-05-31,29.2,15.46229024,-4.326286524,14.83132015,-11.1740522
2003-06-30,29.3,32.45459527,14.18157704,8.615397098,2.306092847
2003-07-31,28.0,29.89458843,17.06435547,12.39673506,9.140194978
2003-08-31,29.5,34.1602771,16.65520805,0.463853815,11.17949924
2003-09-30,31.7,37.90181335,33.15705622,8.621343511,26.83314749
2003-10-31,32.7,22.81234738,16.05464934,-5.899573074,12.8934541
2003-11-30,34.3,22.36511542,-5.092478772,0.398070446,-4.628887203
2003-12-31,32.0,28.65703408,-5.476077772,0.694781537,-3.76379116
2004-01-31,32.0,25.89472311,16.18939124,3.748613451,25.60975714
2004-02-29,32.6,23.73797239,9.106540584,-5.742878851,17.44551699
2004-03-31,31.2,23.5477055,4.458207707,-3.590045208,8.461169697
2004-04-30,31.7,26.79001869,6.335659499,-11.53746625,3.674060802
2004-05-31,30.1,18.35390422,-18.43179855,0.928599068,-13.19583806
2004-06-30,29.6,0.069796169,-37.68412596,16.38737391,-18.80523317
2004-07-31,28.9,13.63317618,-28.75104838,3.651875887,-32.37426113
2004-08-31,29.0,16.26118987,-35.90219887,20.12010373,-30.7746154
2004-09-30,27.7,11.2680873,-22.45296061,31.17532966,-22.26579374
2004-10-31,24.4,18.16377562,-24.0491332,21.85697628,-24.60987322
2004-11-30,23.4,30.82391619,-6.997563939,29.07654696,-16.61717909
2004-12-31,22.7,16.93803427,-8.368025925,15.94047094,-3.131868397
2005-01-31,21.0,19.50065266,-1.685267724,19.36006226,-8.281472774
2005-02-28,20.6,23.56169273,-3.383228166,22.07581079,0.148187784
2005-03-31,21.2,22.58173894,-4.978892732,16.59108237,-9.279670975
2005-04-30,21.7,23.56501235,2.276793048,20.53662627,-1.367254355
2005-05-31,22.2,23.6033483,-10.65729563,12.31069991,-8.924218105
2005-06-30,22.3,25.36092756,11.38677554,14.62294512,-3.115668277
